web-scraper-order,web-scraper-start-url,Week,recipieName,Date,MealType,recipeIngredients,recipeInstructions,recipeYield,NutritionInfo,recipieImage
"1694733886-47","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Fried egg on toast with apple, yogurt & latte","16","Breakfast","<li class=""form-group m-0"">Extra virgin olive oil, 1 tsp(s) (0.2oz) </li><li class=""form-group m-0"">Eggs, 1 large (1.8oz) </li><li class=""form-group m-0"">Whole-grain bread, 1 slice(s), toasted (1.1oz) </li><li class=""form-group m-0"">Sriracha, 1 tsp(s), optional (0.2oz) </li><li class=""form-group m-0"">Apple, 1 small (5.3oz) </li><li class=""form-group m-0"">Non-fat plain Greek yogurt, ⅓ cup(s) (2.6oz) </li><li class=""form-group m-0"">Latte, plain, nonfat milk, 1 small takeaway cup(s) (11.5oz) </li>","<p>Heat the oil in a non-stick pan over medium heat. Once the oil is hot, crack the egg into the pan. Cook for 3 minutes, or until cooked to your liking.</p>
<p>Remove the egg from the pan and place on top of warm toasted bread. Drizzle over sriracha, if using.</p>
<p>Enjoy with a sliced apple dipped in yogurt.</p>
<p>Follow with a skim latte.</p>","1","<tr><td>Calories</td><td class=""text-right text-nowrap"">426</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">15.3 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">5.1 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">206 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">494 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">48.7 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">5.6 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">31.3 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">25.4 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=b7838237-8d0d-4eaa-bad8-917ee75bb70c&w=700"");"
"1694733886-48","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Spicy tuna crispbreads","16","Lunch","<li class=""form-group m-0"">Tuna, canned in water, 3 oz(s), drained (3oz) </li><li class=""form-group m-0"">Moroccan seasoning, 1 tsp(s) (0.1oz) </li><li class=""form-group m-0"">Rye crispbread, 4 crispbread(s) (1.4oz) </li><li class=""form-group m-0"">Tomato, ½ medium, whole, chopped (2.2oz) </li><li class=""form-group m-0"">Avocado, 2 tbsp(s), mashed (1.1oz) </li><li class=""form-group m-0"">Carrot, shredded, ¼ cup(s) (1oz) </li><li class=""form-group m-0"">Cucumber, ½ medium, chopped (3.5oz) </li><li class=""form-group m-0"">Red onion, chopped, 1½ tbsp(s) (0.5oz) </li><li class=""form-group m-0"">Red wine vinegar, 1 tsp(s) (0.2oz) </li><li class=""form-group m-0"">Black pepper, 1 dash(es)  </li>","<p>Mix tuna and seasoning in a bowl and spread evenly over crispbreads.</p>
<p>Mix tomato, avocado, carrot, cucumber, onion and vinegar together.</p>
<p>Spread tomato mixture over tuna on crispbreads. Season to taste.</p>
<p>TIP: If you can't find Moroccan seasoning, you can make your own by mixing ground cumin, ground coriander, paprika, ground tumeric and salt.</p>","1","<tr><td>Calories</td><td class=""text-right text-nowrap"">353</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">7.9 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">1.5 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">36 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">721 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">46.5 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">10.9 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">6.2 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">25.6 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=119acbc3-4dda-4f93-a0c8-dad733ac3b49&w=700"");"
"1694733886-49","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Steak with garlicky green beans","16","Dinner","<li class=""form-group m-0"">Beef tenderloin steak, any grade, very lean, 3 oz(s) (3oz) </li><li class=""form-group m-0"">Extra virgin olive oil, 1 tsp(s) (0.2oz) </li><li class=""form-group m-0"">Garlic, minced, 1 tsp(s) (0.1oz) </li><li class=""form-group m-0"">Ginger, minced, 1 tsp(s) (0.1oz) </li><li class=""form-group m-0"">Green beans, trimmed, 1 cup(s), chopped (3.5oz) </li><li class=""form-group m-0"">Green onion, 1 medium, sliced (0.5oz) </li><li class=""form-group m-0"">Sesame seeds, 1 tsp(s) (0.1oz) </li><li class=""form-group m-0"">Arugula, 1½ cup(s) (1.1oz) </li>","<p>Season steak to taste.</p>
<p>Heat a non-stick frying pan on medium-high heat and cook steak for 3 to 4 minutes each side, or until cooked to your liking. Remove from pan and cover.</p>
<p>Clean frying pan and heat to medium-high. Add olive oil, garlic, ginger and green beans. Stir fry for 1 to 2 minutes. Turn off heat and add onions and sesame seeds. Continue to toss for another 30 seconds.</p>
<p>On a serving plate, place green beans on a bed of arugula and serve steak along side.</p>
<p>TIP: Slice the steak into strips and toss with arugula and beans to enjoy as a salad.</p>","1","<tr><td>Calories</td><td class=""text-right text-nowrap"">234</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">12 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">3 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">55 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">65 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">11 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">4 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">4.3 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">22.4 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=75b72f40-80f1-4025-87dd-f130471fba01&w=700"");"
"1694733886-50","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Banana, chia & almond oats","17","Breakfast","<li class=""form-group m-0"">Old fashioned (rolled) oats, ½ cup(s) (1.4oz) </li><li class=""form-group m-0"">Chia seeds, 1 tbsp(s) (0.4oz) </li><li class=""form-group m-0"">1% milk, ½ cup(s) (4.1fl oz) </li><li class=""form-group m-0"">Non-fat plain Greek yogurt, ½ cup(s) (4oz) </li><li class=""form-group m-0"">Banana, ½ large, sliced (2.4oz) </li><li class=""form-group m-0"">Almonds, unsalted, 6 almond(s), chopped (0.3oz) </li>","<p>Combine oats, chia seeds and milk in a bowl.</p>
<p>Heat in the microwave for 2 minutes on high, or stir in a pan over a hot stove until oats reach a smooth consistency. You can add extra water for a thinner cosistency if you prefer.&nbsp;</p>
<p>Stir in the yogurt and top with banana and almonds.</p>
<p>TIP: Adding yogurt into the oats will make it creamier and pack an extra protein punch. If preferred, serve on the side with half the banana, or save for a mid morning snack.</p>","1","<tr><td>Calories</td><td class=""text-right text-nowrap"">430</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">12.1 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">2.2 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">12 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">98 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">59.4 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">10.7 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">19.4 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">25 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=a1b96536-3a4f-41d9-8874-e18b11d473cc&w=700"");"
"1694733886-51","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Hummus bliss bowl","17","Lunch","<li class=""form-group m-0"">Extra virgin olive oil, 4 tsp(s) (0.6oz) </li><li class=""form-group m-0"">Baby carrot, 8 medium, scrubbed and cut lengthways (2.8oz) </li><li class=""form-group m-0"">Red bell pepper, raw, 1 medium, cut into thick slices (4.2oz) </li><li class=""form-group m-0"">Instant brown rice, cooked, 1⅓ cup(s) (9.9oz) </li><li class=""form-group m-0"">Baby spinach, 2 cup(s) (1.3oz) </li><li class=""form-group m-0"">Green onion, 2 medium, finely sliced (1.1oz) </li><li class=""form-group m-0"">Hummus, ½ cup(s) (4.2oz) </li><li class=""form-group m-0"">Parsley, fresh, 2 handful(s), roughly chopped (2.1oz) </li><li class=""form-group m-0"">Lemon, ½ medium, zest and juice (1.5oz) </li><li class=""form-group m-0"">Paprika, ½ tsp(s) </li>","<p>Prepare Hummus bliss bowl according to recipe instructions below.</p>
<p>Enjoy one serving for lunch and store the remaining rice and vegetables in an airtight container in the fridge for lunch later in the week.</p><div><p><strong>Hummus bliss bowl instructions</strong></p><div><p>Preheat the oven to 350°F. Rub the oil over the carrots and peppers. Add only the carrots to a roasting pan and roast in the oven for 20 minutes. Carefully add the red pepper slices to the pan, and cook for a further 10 minutes.&nbsp;Remove from the oven and set aside to cool.</p>
<p>Prepare the rice according to packet instructions.</p>
<p>Into a bowl, add the rice, spinach, roasted vegetables, and green onion. Top with the hummus, parsley, and lemon zest. Squeeze over the lemon juice and sprinkle with a pinch of paprika prior to serving.</p></div></div>","1","<tr><td>Calories</td><td class=""text-right text-nowrap"">391</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">16.8 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">2.5 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">0 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">713 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">53.2 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">11.1 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">6.2 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">11.2 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=747b386a-a27b-4af4-8ef1-c433c71a13c4&w=700"");"
"1694733886-52","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Mezze plate with falafels, grilled vegetables & homemade hummus","17","Dinner","<li class=""form-group m-0"">Red bell pepper, raw, 2 medium, sliced (8.4oz) </li><li class=""form-group m-0"">Asparagus, 1 bunch(es), trimmed (4oz) </li><li class=""form-group m-0"">Zucchini, 2 medium, cut into sticks (13.8oz) </li><li class=""form-group m-0"">Canned chickpeas, 1½ cup(s), drained and rinsed (8.7oz) </li><li class=""form-group m-0"">Extra virgin olive oil, 2 tbsp(s) (1oz) </li><li class=""form-group m-0"">Lemon, ½ medium, juiced and zested for hummus (1.5oz) </li><li class=""form-group m-0"">Cilantro, fresh, ¼ cup(s) (0.2oz) </li><li class=""form-group m-0"">Psyllium husk, 1 tsp(s) (0.1oz) </li><li class=""form-group m-0"">Garlic, minced, 2 tsp(s) (0.2oz) </li><li class=""form-group m-0"">Cumin, ground, ½ tsp(s) </li><li class=""form-group m-0"">Allspice, ¼ tsp(s) </li><li class=""form-group m-0"">Dried cilantro, ½ tsp(s) </li><li class=""form-group m-0"">Cayenne pepper, ¼ tsp(s) </li><li class=""form-group m-0"">Black pepper, 2 dash(es) </li><li class=""form-group m-0"">Paprika, ¼ tsp(s) </li>","<p>Prepare&nbsp;Mezze plate with falafels, grilled vegetables &amp; homemade hummus&nbsp;according to recipe instructions below.</p>
<p>Enjoy one serving for dinner. Transfer remaining two servings to an airtight container and keep in the fridge for later in the week.</p><div><p><strong>Mezze plate with falafel, grilled vegetables &amp; homemade hummus instructions</strong></p><div><p>Preheat the broiler to medium-high, then place the bell pepper, asparagus and zucchini on a baking tray and cook for 5 to 6 minutes, turning halfway through, then place to one side and leave to cool. Turn the oven to 350°F.</p>
<p>To make the falafel, in a food processor, blitz 1 cup of the chickpeas, 1 tablespoons of olive oil, ¼ of the lemon juiced, fresh cilantro, psyllium and garlic, as well as the cumin, allspice, dried cilantro and cayenne. Taste, and season with black pepper if desired. Form the mix into 6 small falafels, roughly the same size, and bake for 30 minutes, or until cooked through.</p>
<p>To make the homemade chunky hummus, mash&nbsp;½ cup of the chickpeas in a small bowl. Add ¼ of the&nbsp;lemon juiced and zested, paprika and 1 tablespoon of olive oil. Alternatively blitz everything in a food processor until it has a chunky 'dip' consistency.</p>
<p>Enjoy 2 falafels and a third of the hummus and vegetable for dinner. Refrigerate the remaining two servings.</p></div></div>","1","<tr><td>Calories</td><td class=""text-right text-nowrap"">258</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">12.2 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">1.6 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">0 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">226 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">32.1 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">10.3 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">10.8 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">9.5 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=44cb25e1-b021-4368-934a-2c27e85794b1&w=700"");"
"1694733886-53","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Tomato & olive frittata","18","Breakfast","<li class=""form-group m-0"">Extra virgin olive oil, 2 tsp(s) (0.3oz) </li><li class=""form-group m-0"">White onion, chopped, ⅓ cup(s) (1.9oz) </li><li class=""form-group m-0"">Cherry tomatoes, ½ dry pint(s), halved (5.3oz) </li><li class=""form-group m-0"">Roasted red peppers, ¼ cup(s), sliced (1.4oz) </li><li class=""form-group m-0"">Kalamata olives, pitted, ¼ cup(s), halved (1.3oz) </li><li class=""form-group m-0"">Eggs, raw, 3 large egg(s) (5.3oz) </li><li class=""form-group m-0"">Whole-wheat bread, 4 slice(s) (4.5oz) </li>","<p>Prepare Tomato &amp; olive frittata according to recipe instructions below.</p>
<p>Enjoy one serving for breakfast with 2 slices of toast. Store the remaining serving in the fridge for use later in the week.</p><div><p><strong>Tomato &amp; olive frittata instructions</strong></p><div><p>Preheat oven to 400°F.</p>
<p>Heat olive oil in a small, oven-proof skillet over medium-high heat. Add onion and cherry tomatoes and cook 2 to 3 minutes or until lightly golden. Add the roasted pepper and olives to the skillet.</p>
<p>Whisk eggs together in a small bowl, and pour over the vegetables.</p>
<p>Transfer to the oven and bake for 8 to 10 minutes or until golden brown. Remove from oven and slice in half to make 2 servings.</p>
<p>Serve frittata with 2 slices of toast.</p></div></div>","1","<tr><td>Calories</td><td class=""text-right text-nowrap"">380</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">18.6 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">3.9 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">317 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">744 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">35.4 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">5.3 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">7.1 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">18.7 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=99d422ef-2ec9-4bae-b8eb-d5687d681b7e&w=700"");"
"1694733886-54","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Tuna & smashed avocado crispbreads","18","Lunch","<li class=""form-group m-0"">Avocado, 2 tbsp(s), chopped (1.1oz) </li><li class=""form-group m-0"">Tomato, ½ medium, whole, chopped (2.2oz) </li><li class=""form-group m-0"">Green onion, 1 medium, sliced (0.5oz) </li><li class=""form-group m-0"">Black pepper, 1 dash(es), ground, to taste  </li><li class=""form-group m-0"">Rye crispbread, 4 crispbread(s) (1.4oz) </li><li class=""form-group m-0"">Baby spinach, 1 large handful(s) (1.6oz) </li><li class=""form-group m-0"">Tuna, canned in water, 3 oz(s), drained, ½ can (3oz) </li><li class=""form-group m-0"">Carrot, shredded, 4 tbsp(s) (1oz) </li>","<p>In a small bowl, gently mash avocado, tomato, green onion, and black pepper.</p>
<p>Spread avocado mixture on top of crispbreads, followed by baby spinach.</p>
<p>In the same bowl, mix tuna and carrot together and place on top of crispbreads.</p>","1","<tr><td>Calories</td><td class=""text-right text-nowrap"">339</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">7.9 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">1.5 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">36 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">529 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">42.4 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">11.5 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">4.2 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">26.1 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=119acbc3-4dda-4f93-a0c8-dad733ac3b49&w=700"");"
"1694733886-55","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Peppered steak with balsamic mushroom sauce & steamed greens","18","Dinner","<li class=""form-group m-0"">Black pepper, 3 tsp(s), ground (0.2oz) </li><li class=""form-group m-0"">Beef top sirloin steak, any grade, very lean, 6 oz(s), 2 x 3-oz steaks (6oz) </li><li class=""form-group m-0"">Extra virgin olive oil, 4 tsp(s) (0.6oz) </li><li class=""form-group m-0"">Mushrooms, 2 cup(s), whole, mixed, button or brown (6.8oz) </li><li class=""form-group m-0"">Balsamic vinegar, 1 tbsp(s) (0.6oz) </li><li class=""form-group m-0"">Sugar, ¼ tsp(s) </li><li class=""form-group m-0"">Low sodium beef stock, ½ cup(s) (3.9oz) </li><li class=""form-group m-0"">Corn flour, 1 tsp(s) (0.1oz) </li><li class=""form-group m-0"">Parsley, fresh, 2 tbsp(s), chopped (0.3oz) </li><li class=""form-group m-0"">Baby broccoli (broccolini), 1 cup(s), chopped (2.8oz) </li><li class=""form-group m-0"">Snow peas, 1 cup(s), or sugar snap peas, ends trimmed (5.6oz) </li>","<p>Prepare the Peppered steak with balsamic mushroom sauce &amp; steamed greens according to recipe instructions below.</p>
<p>Enjoy one serving for dinner.&nbsp;Store the remaining serving in an airtight container and place in the fridge for later in the week.</p><div><p><strong>Peppered steak with balsamic mushroom sauce &amp; steamed greens instructions</strong></p><div><p>Preheat oven 350°F. Sprinkle the ground pepper evenly over both steaks, turning to coat both sides. Use your fingertips to press the pepper onto the steaks.</p>
<p>Heat a non-stick skillet over medium-high heat. Add 2 teaspoons oil and sear the steaks for 30 to 40 seconds each side. Remove steaks to a roasting pan. Place into the oven and cook 3 to 4 minutes for medium, or until cooked to your liking. Remove from the oven, cover loosely with foil and let rest for 3 minutes.</p>
<p>Meanwhile, add the remaining 2 teaspoons of oil to the skillet. Add the mushrooms and sauté for 3 minutes or until they start to brown. Add the balsamic vinegar and sugar, cook for 1 minute.</p>
<p>Add 1 tablespoon of the cold broth to the corn flour and mix to a smooth paste.&nbsp;Stir in the remaining broth and mix well. Add corn flour mixture to the mushrooms and bring to a boil. Reduce heat and simmer for 1 to 2 minutes or until sauce thickens. Remove from the heat. Stir in the parsley.</p>
<p>Steam or microwave the broccolini and snow peas until bright green and tender.</p>
<p>Place the steak onto serving plates. Spoon over the mushroom sauce and serve with the steamed broccolini and snow peas.</p></div></div>","1","<tr><td>Calories</td><td class=""text-right text-nowrap"">284</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">13.3 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">2.7 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">51 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">184 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">15.7 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">5.1 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">7.1 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">27 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=40aec0a0-1094-40bc-ade2-cc90c9efcc40&w=700"");"
"1694733886-56","https://diet.mayoclinic.org/us/member/menu-recipes/meal-plan/?date=2023-09-16&meal=breakfast","Sep 16, 2023 - Sep 22, 2023","Banana, chia & almond oats","19","Breakfast","<li class=""form-group m-0"">Old fashioned (rolled) oats, ½ cup(s) (1.4oz) </li><li class=""form-group m-0"">Chia seeds, 1 tbsp(s) (0.4oz) </li><li class=""form-group m-0"">1% milk, ½ cup(s) (4.1fl oz) </li><li class=""form-group m-0"">Non-fat plain Greek yogurt, ½ cup(s) (4oz) </li><li class=""form-group m-0"">Banana, ½ large, sliced (2.4oz) </li><li class=""form-group m-0"">Almonds, unsalted, 6 almond(s), chopped (0.3oz) </li>","<p>Combine oats, chia seeds and milk in a bowl.</p>
<p>Heat in the microwave for 2 minutes on high, or stir in a pan over a hot stove until oats reach a smooth consistency. You can add extra water for a thinner cosistency if you prefer.&nbsp;</p>
<p>Stir in the yogurt and top with banana and almonds.</p>
<p>TIP: Adding yogurt into the oats will make it creamier and pack an extra protein punch. If preferred, serve on the side with half the banana, or save for a mid morning snack.</p>","1","<tr><td>Calories</td><td class=""text-right text-nowrap"">430</td></tr><tr><td>Total Fat</td><td class=""text-right text-nowrap"">12.1 g</td></tr><tr><td>- Saturated Fat</td><td class=""text-right text-nowrap"">2.2 g</td></tr><tr><td>Cholesterol</td><td class=""text-right text-nowrap"">12 mg</td></tr><tr><td>Sodium</td><td class=""text-right text-nowrap"">98 mg</td></tr><tr><td>Total Carbohydrate</td><td class=""text-right text-nowrap"">59.4 g</td></tr><tr><td>- Dietary Fiber</td><td class=""text-right text-nowrap"">10.7 g</td></tr><tr><td>- Total Sugars</td><td class=""text-right text-nowrap"">19.4 g</td></tr><tr><td>-- Added Sugars</td><td class=""text-right text-nowrap"">0 g</td></tr><tr><td>Protein</td><td class=""text-right text-nowrap"">25 g</td></tr>","background-image: url(""https://ifed.sphealth.com.au/image.ashx?guid=a1b96536-3a4f-41d9-8874-e18b11d473cc&w=700"");"
